Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Campus Recreation,Des Moines,College of Engineering,Campus Resource,6400,3/16/2013,Engineering-No Major,1056,IA
College of Social Science,Alexandria,College of Natural Science,Scholarship,3281,10/6/2010,Computational Mathematics,1057,VA
Athletics,Alexandria,College of Natural Science,Campus Resource,9332,2/22/2013,Computational Mathematics,1057,VA
College of Agriculture and Natural Resources,Cincinnati,College of Natural Science,Scholarship,6195,6/13/2010,Predental,1058,OH
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,8426,10/6/2013,Predental,1058,OH
College of Nursing,Albuquerque,College of Communication Arts and Sciences,Scholarship,3870,8/28/2010,Advertising,1059,NM
College of Social Science,Albuquerque,College of Communication Arts and Sciences,Scholarship,6248,5/4/2013,Advertising,1059,NM
College of Social Science,Spokane,College of Communication Arts and Sciences,Scholarship,6980,1/23/2010,Media and Information,1060,WA
University Annual Fund,Boston,College of Business,Endowment,7047,4/28/2010,Supply Chain Management,1061,MA
Trustees Fund,Hartford,College of Arts and Sciences,Endowment,3818,8/15/2010,Japanese,1062,CT
College of Communication Arts and Sciences,Houston,College of Agriculture and Natural Resources,Scholarship,9585,2/6/2010,Agriculture and Natural Resources-No Preference,1063,TX
College of Communication Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,5874,8/22/2010,Russian,1064,CA
Parents Association,Kansas City,College of Music,Campus Resource,3045,3/2/2010,Composition,1065,MO
College of Arts and Sciences,Chicago,College of Natural Science,Scholarship,2429,3/22/2010,Genomics & Molecular Genetics,1066,IL
College of Arts and Sciences,Durham,College of Business,Scholarship,3784,10/18/2010,Supply Chain Management,1067,NC
University Annual Fund,San Diego,College of Engineering,Endowment,7928,6/21/2010,Biosystems Engineering,1068,CA
Trustees Fund,Omaha,College of Social Science,Endowment,572,5/25/2010,Interdisciplinary Studies in Social Science - Social Science Education,1069,NE
College of Natural Science,Rochester,College of Social Science,Scholarship,5724,7/19/2010,Economics,1070,NY
Trustees Fund,Washington,College of Agriculture and Natural Resources,Endowment,3820,9/27/2010,Natural Resource Recreation and Tourism,1071,DC
University Annual Fund,New York,College of Social Science,Endowment,4123,11/11/2010,Political Science,1072,NY
College of Business,Hartford,College of Political Science,Scholarship,8519,6/2/2010,Comparative Cultures and Politics,1073,CT
Trustees Fund,Tulsa,College of Business,Endowment,8015,11/24/2010,Supply Chain Management,1074,OK
Campus Recreation,Memphis,College of Engineering,Campus Resource,3379,2/7/2010,Applied Engineering Sciences,1075,TN
Campus Museums,Los Angeles,College of Music,Campus Resource,1128,1/1/2010,Music,1076,CA
College of Natural Science,Salt Lake City,College of Social Science,Scholarship,2727,10/6/2010,Criminal Justice,1077,UT
College of Natural Science,Denver,College of Agriculture and Natural Resources,Scholarship,13698,9/13/2010,Natural Resource Recreation and Tourism,1078,CO
Diversity Fund,Hartford,College of Agriculture and Natural Resources,Endowment,7129,1/6/2010,Agriculture and Natural Resources-No Preference,1079,CT
Trustees Fund,Denver,College of Arts and Sciences,Endowment,225,9/8/2010,Russian,1080,CO
College of Social Science,Overland Park,College of Agriculture and Natural Resources,Scholarship,8176,1/19/2010,Animal Science,1081,KS
College of Arts and Sciences,Hartford,College of Engineering,Scholarship,4034,10/28/2010,Computer Science,1082,CT
University Annual Fund,Kansas City,College of Engineering,Endowment,2556,8/24/2010,Computer Science,1083,MO
University Annual Fund,Charlotte,College of Business,Endowment,3641,10/2/2010,Hospitality Business,1084,NC
College of Natural Science,Charlotte,College of Business,Scholarship,5240,5/26/2013,Hospitality Business,1084,NC
College of Natural Science,Birmingham,College of Natural Science,Scholarship,8571,5/8/2010,Environmental Biology/Microbiology,1085,AL
College of Social Science,Birmingham,College of Natural Science,Scholarship,7746,4/5/2013,Environmental Biology/Microbiology,1085,AL
Faculty Chair Endowments,Denver,College of Engineering,Endowment,5397,1/8/2010,Materials Science and Engineering,1086,CO
College of Arts and Sciences,Denver,College of Engineering,Scholarship,8241,3/13/2013,Materials Science and Engineering,1086,CO
Diversity Fund,Houston,College of Natural Science,Endowment,3292,5/25/2010,Neuroscience,1087,TX
Diversity Fund,Houston,College of Natural Science,Endowment,3336,9/10/2013,Neuroscience,1087,TX
College of Engineering,Atlanta,College of Business,Scholarship,4251,12/18/2010,Accounting,1088,GA
Trustees Fund,Atlanta,College of Business,Endowment,6361,5/2/2013,Accounting,1088,GA
University Annual Fund,Omaha,College of Agriculture and Natural Resources,Endowment,2051,11/19/2010,Natural Resource Recreation and Tourism,1089,NE
Diversity Fund,Omaha,College of Agriculture and Natural Resources,Endowment,8712,7/1/2013,Natural Resource Recreation and Tourism,1089,NE
University Annual Fund,Scottsdale,College of Social Science,Endowment,9728,11/16/2010,World Politics,1090,AZ
Faculty Chair Endowments,Scottsdale,College of Social Science,Endowment,8939,9/6/2013,World Politics,1090,AZ
College of Business,San Diego,College of Engineering,Scholarship,1093,2/5/2010,Applied Engineering Sciences,1091,CA
University Annual Fund,San Diego,College of Engineering,Endowment,554,12/17/2013,Applied Engineering Sciences,1091,CA
Alumni Association,Cincinnati,College of Natural Science,Campus Resource,91,1/7/2010,Earth Science Interdepartmental,1092,OH
College of Music,Cincinnati,College of Natural Science,Scholarship,8592,2/20/2013,Earth Science Interdepartmental,1092,OH
College of Agriculture and Natural Resources,Indianapolis,College of Social Science,Scholarship,3912,3/10/2010,Interdisciplinary Studies in Social Science,1093,IN
Athletics,Indianapolis,College of Social Science,Campus Resource,1778,5/8/2013,Interdisciplinary Studies in Social Science,1093,IN
Campus Museums,Denver,College of Education,Campus Resource,4717.5,7/2/2010,Education,1094,CO
College of Nursing,Denver,College of Education,Scholarship,13339.5,6/7/2013,Education,1094,CO
Campus Museums,Denver,College of Natural Science,Campus Resource,11287.5,3/19/2010,Human Biology,1095,CO
College of Nursing,Denver,College of Natural Science,Scholarship,7782,8/22/2013,Human Biology,1095,CO
University Annual Fund,Denver,College of Natural Science,Endowment,5281.5,5/2/2010,Environmental Biology/Zoology,1096,CO
College of Nursing,Denver,College of Natural Science,Scholarship,7114.5,6/7/2013,Environmental Biology/Zoology,1096,CO
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,5239,5/24/2010,Art History and Visual Culture,1097,CA
University Libraries,San Francisco,College of Arts and Sciences,Campus Resource,2779,6/19/2013,Art History and Visual Culture,1097,CA
Trustees Fund,Austin,College of Natural Science,Endowment,5779,10/25/2010,Biochemistry and Molecular Biology,1098,TX
Campus Recreation,Austin,College of Natural Science,Campus Resource,24261,9/28/2011,Biochemistry and Molecular Biology,1098,TX
College of Agriculture and Natural Resources,Austin,College of Natural Science,Scholarship,22141,9/18/2013,Biochemistry and Molecular Biology,1098,TX
Trustees Fund,Austin,College of Natural Science,Endowment,29033,7/8/2014,Biochemistry and Molecular Biology,1098,TX
University Libraries,Phoenix,College of Nursing,Campus Resource,1117,6/4/2010,Nursing,1099,AZ
College of Natural Science,Phoenix,College of Nursing,Scholarship,1620,10/7/2013,Nursing,1099,AZ
University Annual Fund,Austin,College of Natural Science,Endowment,7234,7/5/2010,Environmental Biology/Plant Biol,1100,TX
Parents Association,Austin,College of Natural Science,Campus Resource,9783,8/8/2013,Environmental Biology/Plant Biol,1100,TX
University Annual Fund,Kansas City,College of Social Science,Endowment,368,12/8/2010,Anthropology,1101,KS
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,3804,6/27/2013,Anthropology,1101,KS
College of Social Science,Houston,College of Business,Scholarship,1758,10/16/2010,Marketing,1102,TX
Faculty Chair Endowments,Houston,College of Business,Endowment,4948,10/20/2013,Marketing,1102,TX
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,2307,4/29/2010,Humanities-Prelaw,1103,CO
University Annual Fund,Denver,College of Arts and Sciences,Endowment,7560,8/11/2013,Humanities-Prelaw,1103,CO
In-State Scholarship Fund,Overland Park,College of Natural Science,Scholarship,1434,2/19/2010,Biomedical Laboratory Science,1104,KS
Faculty Chair Endowments,Overland Park,College of Natural Science,Endowment,9725,5/14/2013,Biomedical Laboratory Science,1104,KS
Campus Museums,Alexandria,College of Engineering,Campus Resource,6032,9/23/2010,Applied Engineering Sciences,1105,VA
Faculty Chair Endowments,Alexandria,College of Engineering,Endowment,5550,4/17/2013,Applied Engineering Sciences,1105,VA
University Libraries,Houston,College of Political Science,Campus Resource,1437,3/26/2010,Comparative Cultures and Politics,1106,TX
College of Engineering,Houston,College of Political Science,Scholarship,464,1/8/2013,Comparative Cultures and Politics,1106,TX
College of Engineering,Richmond,College of Social Science,Scholarship,8916,12/14/2010,Geography,1107,VA
College of Agriculture and Natural Resources,Richmond,College of Social Science,Scholarship,1198,10/6/2013,Geography,1107,VA
In-State Scholarship Fund,San Diego,College of Natural Science,Scholarship,9344,3/14/2010,Physical Science Interdepartmental,1108,CA
University Annual Fund,San Diego,College of Natural Science,Endowment,4018,9/8/2013,Physical Science Interdepartmental,1108,CA
College of Natural Science,Houston,College of Arts and Sciences,Scholarship,892,8/10/2010,Humanities-Prelaw,1109,TX
University Libraries,Little Rock,College of Education,Campus Resource,1858,4/2/2010,Special Education-Learning Disabilities,1110,AR
University Libraries,Providence,College of Communication Arts and Sciences,Campus Resource,4090,5/26/2010,Journalism,1111,RI
College of Natural Science,Cedar Rapids,College of Natural Science,Scholarship,5165,9/24/2010,Statistics,1112,IA
College of Natural Science,Houston,College of Agriculture and Natural Resources,Scholarship,5981,7/14/2010,Fisheries and Wildlife,1113,TX
Diversity Fund,Lansing,College of Arts and Sciences,Endowment,4356,6/5/2010,English,1114,MI
Athletics,Denver,College of Arts and Sciences,Campus Resource,6054,8/19/2010,Japanese,1115,CO
Minority Scholarship Fund,Salt Lake City,College of Natural Science,Scholarship,8925,8/18/2010,Biochemistry and Molecular Biology/Biotechnology,1116,UT
In-State Scholarship Fund,Phoenix,College of Agriculture and Natural Resources,Scholarship,4328,1/3/2010,Horticulture,1117,AZ
Trustees Fund,Memphis,College of Social Science,Endowment,5845,7/15/2010,Human Development and Family Studies,1118,TN
Alumni Association,Cedar Rapids,College of Social Science,Campus Resource,6229,3/10/2010,History Education,1119,IA
University Annual Fund,Richmond,College of Agriculture and Natural Resources,Endowment,6431,6/18/2010,Packaging,1120,VA
University Annual Fund,Miami,College of Natural Science,Endowment,1700,11/25/2010,Microbiology,1121,FL
College of Natural Science,San Francisco,College of Arts and Sciences,Scholarship,4510,9/2/2010,Interdisciplinary Humanities,1122,CA
Faculty Chair Endowments,Hartford,College of Arts and Sciences,Endowment,6074,11/25/2010,Chinese,1123,CT
Faculty Chair Endowments,Los Angeles,College of Engineering,Endowment,9725,2/25/2010,Applied Engineering Sciences,1124,CA
University Libraries,Orlando,College of Business,Campus Resource,41,12/3/2010,Accounting,1125,FL
Trustees Fund,Dallas,College of Natural Science,Endowment,3349,11/4/2010,Chemistry,1126,TX
University Libraries,Los Angeles,College of Natural Science,Campus Resource,2879,3/6/2010,Biochemistry and Molecular Biology/Biotechnology,1127,CA
Parents Association,Chicago,College of Business,Campus Resource,4065,2/3/2010,Accounting,1128,IL
Campus Recreation,Overland Park,College of Political Science,Campus Resource,714,4/13/2010,Social Relations and Policy,1129,KS
College of Business,Dallas,College of Business,Scholarship,6051,2/21/2010,Human Resource Management,1130,TX
College of Business,San Francisco,College of Engineering,Scholarship,2119,4/14/2010,Environmental Engineering,1131,CA
In-State Scholarship Fund,Alexandria,College of Arts and Sciences,Scholarship,1563,5/16/2010,Chinese,1132,VA
Diversity Fund,Baton Rouge,College of Arts and Sciences,Endowment,6182,9/21/2010,Arabic,1133,LA
College of Arts and Sciences,Providence,College of Social Science,Scholarship,9292,12/25/2010,Political Science-Prelaw,1134,RI
College of Arts and Sciences,St. Louis,College of Natural Science,Scholarship,4976,6/5/2010,Human Biology,1135,MO
University Annual Fund,St. Louis,College of Natural Science,Endowment,9717,10/12/2013,Human Biology,1135,MO
Diversity Fund,New York,College of Agriculture and Natural Resources,Endowment,9079,11/13/2010,Natural Resource Recreation and Tourism,1136,NY
Athletics,New York,College of Agriculture and Natural Resources,Campus Resource,4240,6/21/2013,Natural Resource Recreation and Tourism,1136,NY
College of Nursing,New York,College of Business,Scholarship,6155,1/13/2010,Hospitality Business,1137,NY
College of Nursing,New York,College of Business,Scholarship,600,5/1/2013,Hospitality Business,1137,NY
College of Nursing,Denver,College of Music,Scholarship,5217,12/17/2010,Composition,1138,CO
College of Engineering,Denver,College of Music,Scholarship,3621,8/1/2013,Composition,1138,CO
University Annual Fund,Hartford,College of Social Science,Endowment,243,5/26/2010,Criminal Justice,1139,CT
Campus Museums,Hartford,College of Social Science,Campus Resource,7188,12/27/2013,Criminal Justice,1139,CT
Campus Museums,Lincoln,College of Agriculture and Natural Resources,Campus Resource,8941,10/3/2010,Entomology,1140,NE
University Annual Fund,Lincoln,College of Agriculture and Natural Resources,Endowment,7547,1/19/2013,Entomology,1140,NE
Faculty Chair Endowments,New York,College of Political Science,Endowment,7641,3/13/2010,Social Relations and Policy,1141,NY
Athletics,New York,College of Political Science,Campus Resource,4894,4/3/2013,Social Relations and Policy,1141,NY
College of Social Science,Dallas,College of Natural Science,Scholarship,383,6/22/2010,Biochemistry and Molecular Biology,1142,TX
University Annual Fund,Dallas,College of Natural Science,Endowment,2646,5/12/2013,Biochemistry and Molecular Biology,1142,TX
College of Natural Science,Philadelphia,College of Veterinary Medicine,Scholarship,8816,7/3/2010,Preveterinary,1143,PA
College of Natural Science,Philadelphia,College of Veterinary Medicine,Scholarship,2468,10/9/2013,Preveterinary,1143,PA
College of Social Science,Philadelphia,College of Natural Science,Scholarship,5453,8/6/2010,Human Biology,1144,PA
Faculty Chair Endowments,Philadelphia,College of Natural Science,Endowment,6148,10/18/2013,Human Biology,1144,PA
Faculty Chair Endowments,Little Rock,College of Nursing,Endowment,7610,9/15/2010,Summer Research Program,1145,AR
Trustees Fund,Little Rock,College of Nursing,Endowment,7315,12/28/2013,Summer Research Program,1145,AR
Alumni Association,Henderson,College of Music,Campus Resource,995,10/6/2010,Composition,1146,NV
College of Arts and Sciences,Henderson,College of Music,Scholarship,4217,10/23/2013,Composition,1146,NV
University Libraries,Los Angeles,College of Social Science,Campus Resource,6997,10/28/2010,Criminal Justice,1147,CA
Faculty Chair Endowments,Los Angeles,College of Social Science,Endowment,4745,12/1/2013,Criminal Justice,1147,CA
University Annual Fund,New York,College of Music,Endowment,7944,1/7/2010,Composition,1148,NY
Trustees Fund,New York,College of Music,Endowment,1001,1/31/2013,Composition,1148,NY
Athletics,Jacksonville,College of Natural Science,Campus Resource,2245,10/2/2010,Environmental Geosciences,1149,FL
Diversity Fund,Jacksonville,College of Natural Science,Endowment,8078,7/4/2013,Environmental Geosciences,1149,FL
University Libraries,Phoenix,College of Natural Science,Campus Resource,167,11/18/2010,Preoptometry,1150,AZ
Honors Program,Phoenix,College of Natural Science,Campus Resource,3496,7/1/2013,Preoptometry,1150,AZ
College of Business,Denver,College of Natural Science,Scholarship,2695.5,12/22/2010,Neuroscience,1151,CO
Minority Scholarship Fund,Denver,College of Natural Science,Scholarship,13440,5/13/2013,Neuroscience,1151,CO
Faculty Chair Endowments,St. Louis,College of Arts and Sciences,Endowment,2402,9/25/2010,Humanities-Prelaw,1152,MO
College of Agriculture and Natural Resources,St. Louis,College of Arts and Sciences,Scholarship,1858,12/31/2013,Humanities-Prelaw,1152,MO
College of Natural Science,Denver,College of Social Science,Scholarship,11896.5,8/27/2010,Anthropology,1153,CO
Minority Scholarship Fund,Denver,College of Social Science,Scholarship,10828.5,9/11/2013,Anthropology,1153,CO
College of Arts and Sciences,Las Vegas,College of Engineering,Scholarship,6400,3/15/2010,Computer Science,1154,NV
University Annual Fund,Las Vegas,College of Engineering,Endowment,9640,10/2/2013,Computer Science,1154,NV
College of Natural Science,Chicago,College of Education,Scholarship,9332,4/15/2010,Kinesiology,1155,IL
College of Political Science,Chicago,College of Education,Scholarship,9532,1/8/2013,Kinesiology,1155,IL
University Annual Fund,Madison,College of Natural Science,Endowment,8426,5/11/2010,Environmental Biology/Plant Biol,1156,WI
University Annual Fund,Madison,College of Natural Science,Endowment,5109,12/30/2013,Environmental Biology/Plant Biol,1156,WI
Trustees Fund,Grand Rapids,College of Communication Arts and Sciences,Endowment,6248,10/12/2010,Media and Information,1157,MI
Alumni Association,Grand Rapids,College of Communication Arts and Sciences,Campus Resource,7242,7/15/2013,Media and Information,1157,MI
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,7860,5/10/2010,Landscape Architecture,1158,CO
College of Agriculture and Natural Resources,Denver,College of Agriculture and Natural Resources,Scholarship,2796,10/11/2013,Landscape Architecture,1158,CO
University Libraries,Boston,College of Music,Campus Resource,6246,5/10/2010,Composition,1159,MA
College of Music,Mobile,College of Business,Scholarship,6345,7/17/2010,Human Resource Management,1160,AL
College of Music,Kansas City,College of Business,Scholarship,8298,10/27/2010,Finance,1161,MO
College of Agriculture and Natural Resources,Detroit,College of Agriculture and Natural Resources,Scholarship,3403,3/14/2010,Horticulture,1162,MI
Parents Association,Denver,College of Engineering,Campus Resource,5797.5,12/12/2010,Mechanical Engineering,1163,CO
College of Agriculture and Natural Resources,Chicago,College of Arts and Sciences,Scholarship,960,12/4/2010,Interdisciplinary Humanities,1164,IL
Diversity Fund,Scottsdale,College of Education,Endowment,2679,5/22/2010,Education,1165,AZ
Trustees Fund,Hartford,College of Arts and Sciences,Endowment,7746,2/23/2010,Theatre,1166,CT
College of Music,Hartford,College of Arts and Sciences,Scholarship,999,1/24/2013,Theatre,1166,CT
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,5494,1/3/2010,Statistics,1167,TN
College of Arts and Sciences,Memphis,College of Natural Science,Scholarship,9280,8/14/2013,Statistics,1167,TN
College of Agriculture and Natural Resources,Chicago,College of Arts and Sciences,Scholarship,3336,7/16/2010,Philosophy,1168,IL
Athletics,Chicago,College of Arts and Sciences,Campus Resource,8898,12/4/2013,Philosophy,1168,IL
Campus Museums,Lansing,College of Business,Campus Resource,6361,2/23/2010,Accounting,1169,MI
Trustees Fund,Lansing,College of Business,Endowment,2639,2/25/2013,Accounting,1169,MI
